Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
"canopy-12l-kitchen-composter","Canopy 12L Kitchen Composter","<p>Electric countertop digester with a sealed lid and charcoal filter. Turns daily scraps into a dry, soil-ready output overnight.</p><ul><li>Material: Recycled ABS</li><li>Size: 12.5"" × 11"" × 14""</li><li>Finish: Matte Sage</li><li>Highlight: 12L capacity</li><li>Weight: 18 lb</li></ul>","Verdance","Composters","composters, kitchen, electric, odor-lock","TRUE","Finish","Matte Sage","VD-001","8165","shopify","25","deny","manual","349.00","399.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-12l-kitchen-composter.webp","Canopy 12L Kitchen Composter","active"
"canopy-mini-4l-countertop-digester","Canopy Mini 4L Countertop Digester","<p>A compact electric unit for apartments and small kitchens. Quiet cycle, dishwasher-safe inner bucket.</p><ul><li>Material: Recycled ABS</li><li>Size: 9"" × 9"" × 11""</li><li>Finish: Soft White</li><li>Highlight: 4L capacity</li><li>Weight: 9 lb</li></ul>","Verdance","Composters","composters, kitchen, compact","TRUE","Finish","Soft White","VD-002","4082","shopify","25","deny","manual","199.00","229.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-mini-4l-countertop-digester.webp","Canopy Mini 4L Countertop Digester","active"
"root-outdoor-tumbler-50l","Root Outdoor Tumbler 50L","<p>Single-drum yard tumbler on a powder-coated frame. Mixes greens and browns without a pitchfork.</p><ul><li>Material: Recycled HDPE</li><li>Size: 28"" × 24"" × 36""</li><li>Finish: Forest Green</li><li>Highlight: 50L capacity</li><li>Weight: 22 lb</li></ul>","Verdance","Composters","composters, outdoor, tumbler","TRUE","Finish","Forest Green","VD-003","9979","shopify","25","deny","manual","129.00","149.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-outdoor-tumbler-50l.webp","Root Outdoor Tumbler 50L","active"
"root-dual-chamber-yard-tumbler","Root Dual-Chamber Yard Tumbler","<p>Two independent drums so one batch can cure while the other fills. Gear-assist rotation.</p><ul><li>Material: Recycled HDPE</li><li>Size: 42"" × 26"" × 38""</li><li>Finish: Slate</li><li>Highlight: Dual chamber</li><li>Weight: 34 lb</li></ul>","Verdance","Composters","composters, outdoor, dual","TRUE","Finish","Slate","VD-004","15422","shopify","25","deny","manual","189.00","219.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/root-dual-chamber-yard-tumbler.webp","Root Dual-Chamber Yard Tumbler","active"
"moss-electric-kitchen-composter","Moss Electric Kitchen Composter","<p>App-optional electric digester with a low-draw heating cycle and replaceable carbon filter.</p><ul><li>Material: Recycled ABS + stainless</li><li>Size: 13"" × 12"" × 15""</li><li>Finish: Graphite</li><li>Highlight: Energy Star</li><li>Weight: 21 lb</li></ul>","Verdance","Composters","composters, kitchen, energy-star","TRUE","Finish","Graphite","VD-005","9525","shopify","25","deny","manual","429.00","479.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-electric-kitchen-composter.webp","Moss Electric Kitchen Composter","active"
"moss-quiet-cycle-digester","Moss Quiet-Cycle Digester","<p>Night-mode motor and insulated drum for open-plan kitchens. 8-hour default cycle.</p><ul><li>Material: Recycled ABS</li><li>Size: 12"" × 12"" × 14""</li><li>Finish: Matte Black</li><li>Highlight: Whisper-quiet</li><li>Weight: 19 lb</li></ul>","Verdance","Composters","composters, kitchen, quiet","TRUE","Finish","Matte Black","VD-006","8618","shopify","25","deny","manual","379.00","","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/moss-quiet-cycle-digester.webp","Moss Quiet-Cycle Digester","active"
"grove-smart-kitchen-composter","Grove Smart Kitchen Composter","<p>Wi-Fi status light, filter-life alerts, and a 5L bucket sized for a family of four.</p><ul><li>Material: Recycled ABS</li><li>Size: 12"" × 11"" × 13""</li><li>Finish: Copper Trim</li><li>Highlight: App-connected</li><li>Weight: 17 lb</li></ul>","Verdance","Composters","composters, kitchen, smart","TRUE","Finish","Copper Trim","VD-007","7711","shopify","25","deny","manual","399.00","449.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-smart-kitchen-composter.webp","Grove Smart Kitchen Composter","active"
"grove-barrel-tumbler-80l","Grove Barrel Tumbler 80L","<p>Wide-mouth outdoor barrel with aeration ports and a locking hatch. Sits on a low steel cradle.</p><ul><li>Material: Recycled HDPE</li><li>Size: 32"" × 30"" × 40""</li><li>Finish: Olive</li><li>Highlight: 80L capacity</li><li>Weight: 28 lb</li></ul>","Verdance","Composters","composters, outdoor, barrel","TRUE","Finish","Olive","VD-008","12701","shopify","25","deny","manual","159.00","179.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/grove-barrel-tumbler-80l.webp","Grove Barrel Tumbler 80L","active"
"fern-compact-countertop-composter","Fern Compact Countertop Composter","<p>Manual crank plus charcoal lid for renters who do not want another plug. 3L inner pail.</p><ul><li>Material: Bamboo + stainless</li><li>Size: 8"" × 8"" × 10""</li><li>Finish: Natural Bamboo</li><li>Highlight: Compact 3L</li><li>Weight: 6 lb</li></ul>","Verdance","Composters","composters, kitchen, manual","TRUE","Finish","Natural Bamboo","VD-009","2722","shopify","25","deny","manual","89.00","99.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-compact-countertop-composter.webp","Fern Compact Countertop Composter","active"
"fern-patio-tumbler","Fern Patio Tumbler","<p>Narrow-footprint tumbler for balconies and small patios. UV-stable drum.</p><ul><li>Material: Recycled HDPE</li><li>Size: 22"" × 20"" × 32""</li><li>Finish: Terra</li><li>Highlight: Patio-scale</li><li>Weight: 16 lb</li></ul>","Verdance","Composters","composters, outdoor, patio","TRUE","Finish","Terra","VD-010","7257","shopify","25","deny","manual","99.00","119.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/fern-patio-tumbler.webp","Fern Patio Tumbler","active"
"alder-kitchen-digester-pro","Alder Kitchen Digester Pro","<p>14L professional-style electric unit with a stainless inner bowl and extra-long filter life.</p><ul><li>Material: Stainless steel</li><li>Size: 14"" × 13"" × 16""</li><li>Finish: Brushed Steel</li><li>Highlight: 14L capacity</li><li>Weight: 24 lb</li></ul>","Verdance","Composters","composters, kitchen, pro","TRUE","Finish","Brushed Steel","VD-011","10886","shopify","25","deny","manual","449.00","519.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-kitchen-digester-pro.webp","Alder Kitchen Digester Pro","active"
"alder-garden-tumbler-xl","Alder Garden Tumbler XL","<p>120L dual-batch outdoor system for serious yards. Reinforced axle and rain cover.</p><ul><li>Material: Recycled HDPE</li><li>Size: 48"" × 30"" × 44""</li><li>Finish: Deep Green</li><li>Highlight: 120L capacity</li><li>Weight: 41 lb</li></ul>","Verdance","Composters","composters, outdoor, xl","TRUE","Finish","Deep Green","VD-012","18597","shopify","25","deny","manual","219.00","249.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/alder-garden-tumbler-xl.webp","Alder Garden Tumbler XL","active"
"willow-smart-bin-composter","Willow Smart Bin Composter","<p>Looks like a kitchen bin, runs a low-heat cycle, and locks odor with a gasketed lid.</p><ul><li>Material: Recycled ABS</li><li>Size: 13"" × 11"" × 18""</li><li>Finish: Soft Black</li><li>Highlight: Odor-lock</li><li>Weight: 16 lb</li></ul>","Verdance","Composters","composters, kitchen, bin","TRUE","Finish","Soft Black","VD-013","7257","shopify","25","deny","manual","319.00","359.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/willow-smart-bin-composter.webp","Willow Smart Bin Composter","active"
"willow-dual-tumbler-set","Willow Dual Tumbler Set","<p>Paired 40L drums on one stand so you can separate food waste from yard clippings.</p><ul><li>Material: Recycled HDPE</li><li>Size: 46"" × 24"" × 36""</li><li>Finish: Moss</li><li>Highlight: Twin drums</li><li>Weight: 36 lb</li></ul>","Verdance","Composters","composters, outdoor, dual","TRUE","Finish","Moss","VD-014","16329","shopify","25","deny","manual","249.00","279.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/willow-dual-tumbler-set.webp","Willow Dual Tumbler Set","active"
"sage-countertop-digester","Sage Countertop Digester","<p>Charcoal-filter electric unit with a ceramic-look shell. Designed to sit out, not hide.</p><ul><li>Material: Recycled ABS</li><li>Size: 11"" × 10"" × 13""</li><li>Finish: Sage Ceramic</li><li>Highlight: Charcoal filter</li><li>Weight: 14 lb</li></ul>","Verdance","Composters","composters, kitchen, filter","TRUE","Finish","Sage Ceramic","VD-015","6350","shopify","25","deny","manual","259.00","289.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/sage-countertop-digester.webp","Sage Countertop Digester","active"
"sage-outdoor-composter-65l","Sage Outdoor Composter 65L","<p>Hex-drum outdoor tumbler with a wide loading door and ground-stake kit.</p><ul><li>Material: Recycled HDPE</li><li>Size: 30"" × 28"" × 38""</li><li>Finish: Weathered Green</li><li>Highlight: 65L capacity</li><li>Weight: 25 lb</li></ul>","Verdance","Composters","composters, outdoor, tumbler","TRUE","Finish","Weathered Green","VD-016","11340","shopify","25","deny","manual","139.00","159.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/sage-outdoor-composter-65l.webp","Sage Outdoor Composter 65L","active"
"canopy-sensor-can-13-gal","Canopy Sensor Can 13 Gal","<p>Motion-open kitchen can with a slow-close lid and fingerprint-resistant shell.</p><ul><li>Material: Stainless steel</li><li>Size: 16"" × 12"" × 28""</li><li>Finish: Brushed Steel</li><li>Highlight: Motion sensor</li><li>Weight: 12 lb</li></ul>","Verdance","Waste Systems","waste-systems, sensor, kitchen","TRUE","Finish","Brushed Steel","VD-017","5443","shopify","25","deny","manual","129.00","149.00","TRUE","TRUE","https://raw.githubusercontent.com/arcmonay/verdance/main/public/products/canopy-sensor-can-13-gal.webp","Canopy Sensor Can 13 Gal","active"
